,Team_name,Address,Postcode,Category of service,Borough based in,Page link,URL extension
46,Islington CAMHS Children Looked After (CLA),"3 Elwood Street, Islington, London",N5 1EB,LAC,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-cla,
47,Islington CAMHS Early Years Service (EYS),"222 Upper Street, Islington, London",N1 1XR,Early Years,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-eys,
48,Islington CAMHS in New River College,"New River College, 23-24 New River Green, London",N1 2SX,Schools,Islington,,/icamhs-nrc
49,Islington CAMHS in New River College (NRC) Team,"New River College, 23-24 New River Green, London",N1 2SX,Schools,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-nrc,
50,Islington CAMHS Neurodevelopmental Team (NDT),"Northern Health Centre, 580 Holloway Road, London",N7 6LB,Neuro,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-ndt,
51,Islington CAMHS Schools Team,"222 Upper Street, Islington, London",N1 1XR,Schools,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-schools-team,
52,Islington CAMHS Therapies Team (CTT),"222 Upper Street, Islington, London",N1 1XR,Generic,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-ctt,
53,Islington CAMHS: Social Emotional Mental Health Services (SEMH),"222 Upper Street, Islington, London",N1 1XR,Generic,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-semh,
54,Islington Child Wellbeing Team,"222 Upper Street, Islington, London",N1 1XR,Wellbeing,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-cwps,
55,Islington School Wellbeing Service (SWS),"222 Upper Street, Islington, London",N1 1XR,Schools,Islington,https://www.nclwaitingroom.nhs.uk/icamhs-sws,
56,Islington Youth Counselling and Substance Misuse and Alcohol Service (YCSMAS),"50 Isledon Road, London",N7 7LD,Integrated ,Islington,https://www.nclwaitingroom.nhs.uk/ycsmas,
57,Islington Youth Justice Service (YJS),"222 Upper Street, Islington, London",N1 1XR,Integrated ,Islington,https://www.nclwaitingroom.nhs.uk/islington-yjs,
68,North Central London CAMHS Dialectical Behaviour Therapy Team,"Tavistock Centre, 120 Belsize Lane, London",NW3 5BA,Adolescent intensive,Islington,https://www.nclwaitingroom.nhs.uk/ncl-camhs-dbt,
58,Kooth,"5 Merchant Square, London",W2 1AY,Counselling,NCL,https://www.nclwaitingroom.nhs.uk/kooth,
60,Learning Disability/Autistic Spectrum Disorder (LD/ASD) Keyworker Service,"Orchard House, St Ann's Hospital, St Ann's Road, London",N15 3TH,Neuro,NCL,,TBD
